Institute Name,Address,Phone/Fax/Website,Email ID,Contact Information,Institut Name
Indian Institute  of Technology Bhubaneswar,"Indian Institute of Technology Bhubaneswar (IITBBS), Argul, Jatni,Khurda, PIN: 752050","Phone: 91-674-7134578,0674-713-4461,0674-713-4462Fax: Website: www.iitbbs.ac.in","ar.acad@iitbbs.ac.in,  office.academic@iitbbs.ac.in",Dr. Sailendra Narayan Routray Assistant Registrar (Academics),ndian Institute  of Technology Bhubaneswar
Indian Institute  of Technology Bombay,"IIT Bombay, Powai, Mumbai 400076, Maharashtra, India",Phone: 91-22-25767916Fax: 91-22-25767041Website: www.iitb.ac.in,"dracad@iitb.ac.in,  dean.ap.office@iitb.ac.in",Actg.Deputy Registrar (Academic) Actg.Deputy Registrar (Academic) 9833086661,ndian Institute  of Technology Bombay
Indian Institute  of Technology Mandi,"Kamand Campus, VPO Kamand, Distt. Mandi - 175075 Himachal Pradesh India",Phone: 91-1905-267015Fax: 91-1905-267075Website: www.iitmandi.ac.in,"registrar@iitmandi.ac.in,",Shri K.K. Bajre Registrar,ndian Institute  of Technology Mandi
Indian Institute  of Technology Delhi,"Indian Institute of Technology Delhi, Hauz Khas, New Delhi-110 016, INDIA",Phone: 91-11-26591706Fax: Website: www.iitd.ac.in,"deansa@admin.iitd.ac.in,",Prof. Aditya Mittal Dean (Student Affairs),ndian Institute  of Technology Delhi
Indian Institute  of Technology Indore,"Indian Institute of Technology Indore
Simrol, Khandwa Road 
Pin code 453 552, Indore (MP) India",Phone: 91-731-6603150Fax: 91-731-6603121Website: www.iiti.ac.in,"araa@iiti.ac.in,  manageracademic@iiti.ac.in","Assistant Registrar, Academic Affairs Assistant Registrar -",ndian Institute  of Technology Indore
Indian Institute  of Technology Kharagpur,"Kharagpur 
West Bengal
India - 721302",Phone: 0-3222-282074Fax: 0-3222-278242Website: www.iitkgp.ac.in,"arug@adm.iitkgp.ac.in,  chairjee@adm.iitkgp.ac.in; vcjee1@adm.iitkgp.ac.in",Mr. Santanu Das Assistant Registrar 0-3222-282054,ndian Institute  of Technology Kharagpur
Indian Institute  of Technology Hyderabad,"Kandi-502284, Sagareddy, Telangana, India",Phone: 91-40-23016057Fax: 91-40-23016000Website: www.iith.ac.in,"dr.acad@iith.ac.in,  ar.acadug@iith.ac.in",Ms Chanchala Devi D Deputy Registrar Academics,ndian Institute  of Technology Hyderabad
Indian Institute  of Technology Jodhpur,"NH 62 Nagaur Road, Karwad 342030, Jodhpur District","Phone: 2912801079,2912801195,2912801135Fax: Website: www.iitj.ac.in","chair_jee@iitj.ac.in,  office_jee@iitj.ac.in","Sandeep Kumar Yadav Chairman, JEE (Adv.) 2022",ndian Institute  of Technology Jodhpur
Indian Institute  of Technology Kanpur,"JEE Office,
DOAA Building,
IIT Kanpur,
Kalyanpur, Kanpur, Uttar Pradesh 208016, India",Phone: 0512-2597325Fax: Website: www.iitk.ac.in,"jeeadv@iitk.ac.in,  jee@iitk.ac.in",Chairman JEE (Advanced) 2022,ndian Institute  of Technology Kanpur
Indian Institute  of Technology Madras,"IIT Madras P.O., Chennai 600036, INDIA",Phone: 91-44-22578035Fax: 91-44-22578042Website: www.iitm.ac.in,"drcourses@iitm.ac.in,  cacad@iitm.ac.in",Deputy Registrar (Academic Courses) Deputy Registrar,ndian Institute  of Technology Madras
Indian Institute  of Technology Gandhinagar,"Palaj, Gandhinagar - 382355, India",Phone: 07923952053Fax: Website: www.iitgn.ac.in,"academics@iitgn.ac.in,",Ms. Saswati Roy Assistant Registrar (Academics) 07923952051,ndian Institute  of Technology Gandhinagar
Indian Institute  of Technology Patna,"Indian Institute of Technology Patna, Bihta, Patna -801106 (Bihar)",Phone: 91-6115-233697Fax: 91-612-3028123Website: www.iitp.ac.in,"aracademic@iitp.ac.in,  chairjee@iitp.ac.in",Mr. Santosh Kumar AR Academic 7004530588,ndian Institute  of Technology Patna
Indian Institute  of Technology Roorkee,"Indian Institute of Technology Roorkee
Roorkee
Haridwar-247667
Uttarakhand
India",Phone: 01332284289Fax: Website: www.iitr.ac.in,"admnreg@iitr.ac.in,",Assistant Registrar (AAO) Assistant Registrar 01332284010,ndian Institute  of Technology Roorkee
Indian Institute  of Technology (ISM) Dhanbad,"Indian Institute of Technology
(Indian School of Mines),Dhanbad   826004, Jharkhand, India",Phone: 0326-2235292Fax: 0326-2296563Website: www.iitism.ac.in,"chairman_jeea@iitism.ac.in,  subindu@iitism.ac.in","Prof. Subindu Kumar Chairman, JEE (Advanced) 0326-2235732",ndian Institute  of Technology (ISM) Dhanbad
Indian Institute  of Technology Ropar,"Rupnagar, Punjab 140001","Phone: 01881-231110,231113,231111Fax: Website: www.iitrpr.ac.in","dracademics@iitrpr.ac.in,  academics@iitrpr.ac.in","Mr. C. S. Sham Sundar Deputy Registrar (Academics) 9478664119,8557863822",ndian Institute  of Technology Ropar
Indian Institute  of Technology (BHU) Varanasi,Uttar Pradesh 221005,"Phone: 91-7081144222,5422367042Fax: 91-542-2368428Website: www.iitbhu.ac.in","doaa@iitbhu.ac.in,  academics@iitbhu.ac.in",Prof. S.B. Dwivedi Dean (Academic Affairs),ndian Institute  of Technology (BHU) Varanasi
Indian Institute  of Technology Guwahati,"Guwahati - 781039, Assam, India",Phone: 91-361-2582192Fax: 91-361-2582090Website: www.iitg.ac.in,"acad_admission@iitg.ac.in,  hosacad@iitg.ac.in",Dr. Subhajit Choudhury Assistant Registrar & HoS (Academic Affairs),ndian Institute  of Technology Guwahati
Indian Institute of Technology Bhilai,"IIT Bhilai, Government Engineering College Campus, Old Dhamtari Road, Sejbahar, Raipur, Chhattisharh, 492015",Phone: 0771-2973624Fax: 0771-2973601Website: https://www.iitbhilai.ac.in,"admissions@iitbhilai.ac.in,  niharb@iitbhilai.ac.in",Mr. Nihar Ranjan Barick Assistant Registrar (Academic Affairs),ndian Institute of Technology Bhilai
Indian Institute of Technology Goa,"IIT Goa, Goa Engineering College Campus, Farmagudi, Ponda- 403401, Goa, India",Phone: 08322490871Fax: Website: www.iitgoa.ac.in,"dean.ap@iitgoa.ac.in,  ar_academic@iitgoa.ac.in","Dean, IIT Goa Dean Academic 08322490861",ndian Institute of Technology Goa
Indian Institute  of Technology Palakkad,"Indian Institute of Technology Palakkad, Nila Campus, Kanjikode West, Palakkad 678623, Kerala",Phone: 04923226576Fax: Website: iitpkd.ac.in,"deanacad@iitpkd.ac.in,  academic@iitpkd.ac.in",Dr. Sovan Lal Das Dean Academics +919497718131,ndian Institute  of Technology Palakkad
Indian Institute  of Technology Tirupati,"Indian Institute of Technology Tirupati
Yerpedu – Venkatagiri Road, Yerpedu Post,
Tirupati District, A.P - 517619","Phone: 91-877-2503531,91-877-2503508Fax: 91-877-2503004Website: www.iittp.ac.in","admissions@iittp.ac.in,  academics@iittp.ac.in","Chairperson Chairperson, Admissions 7901642849,7901642848",ndian Institute  of Technology Tirupati
Indian Institute of Technology Jammu,"Indian Institute of Technology Jammu 
Jagti, PO Nagrota, NH-44
Jammu - 181 221
J&K, India",Phone: 0191-257-0633Fax: Website: https://iitjammu.ac.in,"jeeadv@iitjammu.ac.in,","Dr. Roshan Udaram Patil Assistant Professor, JEE Chair",ndian Institute of Technology Jammu
Indian Institute of Technology Dharwad,"IIT Dharwad, Near High Court, PB Road Post Dharwad-580011 Karnataka, India",Phone: 916361751431Fax: Website: www.iitdh.ac.in,"dean.ap@iitdh.ac.in,",Dean (Academic) Dean (Academic),ndian Institute of Technology Dharwad
